USDT-BTC,time,USDT-ETH,USDT-ZEC,USDT-LTC,USDT-ETC,USDT-XRP,USDT-XMR,USDT-DASH,USDT-BCC,USDT-NEO,USDT-OMG
4399.0,2017-10-06 09:01:00+00:00,301.32,259.0,52.79999899,12.2989,0.24199898,92.38323392,310.87,369.96299971,34.0000001,8.84000001
4340.0,2017-10-06 11:39:00+00:00,299.41042874,256.0,51.87,12.08300031,0.23868057,91.03389898,305.0,360.80000006,32.89999999,8.65900723
4575.0,2017-10-08 16:03:00+00:00,311.80000001,247.53,54.20000005,12.37,0.2619999,91.0,309.0,354.00000048,34.2,8.1
4601.00000001,2017-10-08 20:50:00+00:00,310.0,240.0,53.68,12.11000001,0.2798,90.09,305.5,339.97827755,32.05538889,7.73368667
4628.99,2017-10-08 22:01:00+00:00,310.6,243.199,53.25,12.22428536,0.2806,90.3,301.1,344.99999983,32.29999994,7.799
4607.0,2017-10-09 03:37:00+00:00,307.66884691,238.0,52.50901994,11.98,0.2715511,89.3,297.5,332.0,32.69138152,7.52170136
4729.99999996,2017-10-09 15:57:00+00:00,292.9,232.302,50.97999999,11.5435926,0.269,88.78099982,288.24099242,315.00000167,28.19,7.80511353
4731.52649898,2017-10-09 15:59:00+00:00,294.16196,232.302,50.86072115,11.5435926,0.268,88.0,288.0968718,314.00000001,29.0,7.80511353
4750.0,2017-10-09 16:05:00+00:00,292.90999999,232.302,50.19,11.55,0.2608,86.88,285.0,312.0,28.52,7.8
4779.0,2017-10-09 16:55:00+00:00,292.57422237,230.60442642,48.84099999,11.38,0.25555555,86.0000002,281.2,298.0,27.66,7.4399996
4814.99999998,2017-10-09 17:10:00+00:00,292.56999961,227.50000001,48.71812874,11.27105327,0.24448,86.0,280.0,299.99999997,27.15,7.27
4800.367,2017-10-09 17:16:00+00:00,289.42253,227.5,48.25,11.11179914,0.23585074,84.68592556,276.66156802,293.83072659,26.94405001,7.25
4790.0,2017-10-09 17:17:00+00:00,289.0,227.0,48.57921519,11.07624014,0.23746987,84.64999995,276.54463142,291.20000001,27.39699963,7.27411705
4820.0,2017-10-09 17:23:00+00:00,288.0001,227.0,48.2,11.137,0.24317197,84.43959985,275.0,290.99999999,27.00088527,7.16405909
4812.999,2017-10-09 17:26:00+00:00,288.0,226.27573151,48.230001,11.01224414,0.24481021,83.7,275.0,292.99999801,27.07,7.0233434
4823.81900002,2017-10-09 17:27:00+00:00,288.0,226.27573151,48.23000001,11.08714247,0.24456544,83.60700001,274.0,291.99999998,27.09,7.01485896
4829.0,2017-10-09 17:28:00+00:00,288.0,226.243051,48.50638276,11.03237421,0.24008411,84.0862575,273.5,291.0,27.08,7.05000001
4786.963,2017-10-09 17:59:00+00:00,293.3,229.0,49.7,11.0,0.24884,86.4,275.0,285.5,28.74031993,7.25945879
4794.7522597,2017-10-09 18:01:00+00:00,293.9,227.0140001,50.00000002,11.105,0.24800001,86.9,277.42573768,287.85000021,28.84799982,7.32999996
4780.0,2017-10-09 18:05:00+00:00,296.67588737,230.9,50.1,11.18799999,0.245,87.41252176,277.00000033,302.041,29.37999997,7.35206955
4741.11357969,2017-10-09 18:07:00+00:00,298.09544141,232.0,50.09999999,11.18799999,0.24699999,86.9,280.64914983,303.85223536,29.6,7.43
4756.00000003,2017-10-09 18:08:00+00:00,299.0,232.2,50.00000002,11.19,0.24898079,86.90000001,280.64914983,306.819,29.7496025,7.43
4795.0,2017-10-09 18:11:00+00:00,298.0,233.5,50.10190726,11.37588682,0.249,87.1,281.10006274,309.99999998,28.98999997,7.39419539
4815.0,2017-10-09 18:14:00+00:00,297.31347965,232.451349,49.89997729,11.36131649,0.249,86.6,282.0,304.98173435,28.75287501,7.27645528
4801.0,2017-10-09 18:19:00+00:00,293.97999999,228.71219075,49.327,11.35,0.2473762,85.478,283.2907093,305.0,28.49,7.20651218
4826.0,2017-10-10 01:01:00+00:00,298.0,231.94200005,50.25,11.41825908,0.242,86.0,290.00000002,348.20885273,29.14500201,7.50450136
4800.0,2017-10-10 02:15:00+00:00,297.91053305,233.4,50.71463908,11.49423991,0.24777182,87.97924071,290.23193033,328.13281024,29.2,7.75
4819.0,2017-10-10 03:04:00+00:00,297.0,231.39994216,50.25000001,11.36662002,0.245507,87.54375001,287.36504126,326.0,28.9,7.8
4750.88998993,2017-10-10 20:35:00+00:00,299.0,235.3,50.8,11.500001,0.25689454,86.3,293.0,319.5,29.31,8.302
4700.0,2017-10-10 21:23:00+00:00,296.76793,235.0,50.31289993,11.41496685,0.255722,86.0,288.00000001,320.03200021,29.28505725,8.17
4848.58339624,2017-10-12 01:21:00+00:00,307.0,234.0,50.86585751,11.47907182,0.26340003,87.408834,294.95749281,312.3,30.0,9.07856998
4913.0,2017-10-12 05:09:00+00:00,306.1097,234.5,50.80000004,11.54654525,0.26099999,88.35999996,294.5,312.54364999,29.3,8.325
5099.99999999,2017-10-12 06:34:00+00:00,304.8,232.0,51.58529515,11.35,0.25797341,87.5,288.78689668,309.60000003,29.48524897,8.48
5225.09620212,2017-10-12 08:56:00+00:00,308.51,238.36040345,51.999,11.9,0.25738279,87.30700007,297.0,325.9999997,29.65,8.56
5322.99,2017-10-12 14:16:00+00:00,305.4,229.641,56.5,11.70000002,0.25533062,88.5,296.69999964,317.0,29.1,8.44
5360.709,2017-10-12 14:26:00+00:00,305.5,229.10000006,57.07268508,11.7200399,0.25273,88.0,294.40983,315.5,28.701,8.44999997
5425.0,2017-10-12 14:37:00+00:00,307.09999999,228.80145219,59.89,11.8,0.2482968,88.89578386,296.65,315.2,28.60000002,8.436
5385.0,2017-10-12 14:42:00+00:00,306.90477984,227.5,58.0,11.83223384,0.24895612,88.99650069,296.64999999,316.0,28.521,8.436
5420.0,2017-10-12 22:25:00+00:00,303.42799973,225.0,58.35,11.74,0.247,86.08557999,289.256,308.10000001,27.590002,8.25078286
5375.05,2017-10-12 23:01:00+00:00,300.9,223.65179933,57.90567882,11.55,0.24699997,85.16670908,286.00000002,305.0,27.45,8.26255846
5429.98999995,2017-10-12 23:11:00+00:00,301.0,222.2260001,58.43887021,11.61326832,0.24522455,86.32421007,286.3,304.00000009,27.31,8.3051679
5615.0,2017-10-13 00:47:00+00:00,296.89,225.02677601,58.26,11.35000002,0.23474999,85.503,295.33800575,304.05000001,26.9,8.032
5650.00000001,2017-10-13 00:48:00+00:00,296.11,223.00000001,58.0,11.35000002,0.23370438,86.07588147,293.07318481,302.56999996,26.9,8.00001
5650.0,2017-10-13 00:49:00+00:00,297.00000001,222.00000008,57.8028472,11.35,0.2405,85.0,286.001,304.05000001,27.24428488,8.00081
5537.05294168,2017-10-13 03:32:00+00:00,314.201,232.0,55.41,11.52999,0.2368997,85.4,290.45,300.3,28.98,8.5
5503.0,2017-10-13 03:33:00+00:00,312.53522881,231.75,55.00700002,11.4000001,0.23357001,85.0,290.45000001,300.20000001,28.98,8.52587179
5542.0,2017-10-13 03:44:00+00:00,311.15881257,229.96360369,55.35144914,11.33852572,0.23822,86.28158577,293.99999999,300.32,28.9,8.400841
5548.0,2017-10-13 03:56:00+00:00,313.52,229.96360369,56.27184999,11.38590707,0.24117479,87.22342106,295.0,301.79999999,28.80334594,8.5287799
5622.57273701,2017-10-13 04:19:00+00:00,321.99999996,229.8,56.17507489,11.56,0.24,86.99999992,295.68699999,307.50533797,29.29999996,8.54416399
5638.99999999,2017-10-13 04:22:00+00:00,323.9,229.0,56.39999991,11.57421,0.238,87.82,295.687,308.07019972,28.93655414,8.4417244
5640.0,2017-10-13 04:24:00+00:00,324.79999999,228.5,56.4,11.575,0.238,87.98774999,295.687,308.07019972,28.48242931,8.44256859
5632.9,2017-10-13 04:53:00+00:00,336.733,230.50650372,56.46,11.9,0.24940059,87.74518635,302.0,312.39999999,28.325,8.68799308
5622.0001,2017-10-13 04:54:00+00:00,333.33,230.50650372,56.46,11.91744429,0.2475,87.67999998,304.59999999,312.39999997,28.325,8.7
5604.001,2017-10-13 04:57:00+00:00,330.0,232.17354535,56.6,11.98999975,0.246,87.68,305.0,311.5899,28.3,8.64533889
5585.0,2017-10-13 04:58:00+00:00,329.00000001,230.6,56.5,11.98999971,0.24550511,87.68,307.89999999,311.68,28.25,8.64447445
5583.00000009,2017-10-13 05:00:00+00:00,329.5,230.50650372,56.5,12.0,0.2475,87.68,307.9,310.60217348,28.3,8.63533898
5575.0,2017-10-13 05:01:00+00:00,330.25,230.0,56.40000001,12.0939897,0.24899998,87.6816,309.0,310.1100002,28.15,8.64447445
5555.0,2017-10-13 05:03:00+00:00,328.49703371,227.82690389,56.49999999,12.11129641,0.24875093,87.98769999,310.0,309.70600001,28.15,8.60861001
5555.0,2017-10-13 05:04:00+00:00,329.0,230.25407103,56.41000008,12.14,0.24887535,87.98769999,309.26,309.70600001,28.15,8.6
5556.0,2017-10-13 05:06:00+00:00,327.5,230.02187447,56.1,12.15,0.24780011,87.71,309.99999999,309.8,28.2,8.56
5540.00000002,2017-10-13 05:10:00+00:00,328.00000001,229.61040587,56.0,11.96391206,0.24899999,87.9,309.0,308.34575,28.3,8.5999999
5556.00000001,2017-10-13 05:13:00+00:00,331.0,228.48218088,56.3,11.9,0.24899999,87.9,306.0,309.0,28.3,8.61000001
5621.35138203,2017-10-13 05:35:00+00:00,324.66839661,231.84656805,56.80611227,11.81669625,0.24816114,88.2,302.99814,314.12561957,28.53120004,8.57285429
5649.0,2017-10-13 05:39:00+00:00,324.0,232.0,56.967,11.89405,0.24524146,88.40002939,301.23012105,315.0,28.58826239,8.6
5650.0,2017-10-13 05:40:00+00:00,323.045,233.99999991,56.96699962,11.82260447,0.2449517,88.40002939,300.97,315.0,28.58826239,8.6
5660.0,2017-10-13 05:56:00+00:00,327.0,232.73213009,56.966,11.8,0.24316001,87.7101,300.0,314.99999883,28.2,8.615
5702.85000002,2017-10-13 06:24:00+00:00,325.25554999,230.8,58.000001,11.78315278,0.241,87.99999999,300.00000001,308.13781781,27.48152624,8.38679844
5646.0,2017-10-13 08:28:00+00:00,322.11111001,242.3144,57.41,11.66100005,0.23949615,90.57000023,300.21006677,307.12282004,28.38934359,8.30460623
5632.815,2017-10-13 08:40:00+00:00,322.67708075,242.63917528,57.4,11.67831294,0.24204433,90.00000001,300.21006677,308.1,28.09973087,8.291234
5624.99999999,2017-10-13 11:03:00+00:00,342.596424,238.8,59.49,12.08796826,0.249,91.92661969,308.73781781,312.00000008,28.5556,8.444172
5652.0,2017-10-13 11:22:00+00:00,345.5,246.0,59.65000004,12.15,0.25125845,91.88,307.88,314.68999978,28.45,8.40100001
5633.1,2017-10-13 11:26:00+00:00,348.0,245.0,59.78125298,12.165,0.2508002,91.30502932,308.0,315.68999978,28.51545659,8.36067937
5642.17749999,2017-10-13 11:29:00+00:00,348.0,243.10000017,59.991,12.201,0.25253,91.22814601,308.0,318.0,28.39974194,8.36067942
5641.0,2017-10-13 11:38:00+00:00,346.0,243.20000017,59.69999998,12.21,0.255226,91.36857063,308.0,318.0,28.01,8.355
5626.6,2017-10-13 11:42:00+00:00,344.0,243.20000017,59.2,12.249,0.257,91.80004961,307.0,318.29,28.05000004,8.33787896
5630.0,2017-10-13 11:48:00+00:00,345.02695082,241.0,59.01560792,12.24999998,0.258,91.90004963,307.0,323.5,27.94178275,8.326
5700.02000002,2017-10-13 12:02:00+00:00,340.82,243.49999999,59.8,12.22,0.25105061,91.36857063,308.0,321.39273586,27.81,8.2612
5745.0,2017-10-13 12:05:00+00:00,338.99999999,243.5,60.09999998,12.16,0.25198971,91.39911754,309.0,320.08857743,27.7,8.2612
5795.01,2017-10-13 12:42:00+00:00,339.3951254,240.49999986,59.40000002,11.99668321,0.24922326,95.36099998,306.5,317.48,28.0,8.20001112
5760.93,2017-10-13 12:48:00+00:00,340.39999997,239.0135959,59.51000001,12.081,0.24922,95.27987624,307.07999999,317.36447684,27.9318071,8.15
5755.99999998,2017-10-13 12:54:00+00:00,344.0,239.01359594,59.0,12.081,0.2518637,94.34808742,305.0,316.99999999,27.7918071,8.15
5720.862002,2017-10-13 14:36:00+00:00,340.28999999,238.01359592,59.39396123,12.26260916,0.256999,92.89,308.5,316.99999982,27.86775794,8.16
5717.50000001,2017-10-13 14:52:00+00:00,344.8,239.47604886,58.519,12.2500001,0.2578,94.0,307.45499896,315.0,27.99999999,8.140012
5728.0,2017-10-13 15:35:00+00:00,339.0,243.98999999,58.6,12.22,0.25859993,96.04221832,309.3,317.93403251,27.615,8.2
5736.1,2017-10-14 09:10:00+00:00,340.0,240.0,59.67092445,12.026,0.2575,95.9,312.22351674,321.76781862,28.91999959,8.29999997
5756.4482163,2017-10-14 13:03:00+00:00,341.7000003,238.5,64.24999975,12.14354425,0.25686333,95.0,315.22446122,318.96049902,28.50100001,8.131111
5754.0,2017-10-14 13:06:00+00:00,341.7000003,238.0,63.64000003,12.16105357,0.2566905,94.67125665,315.2,317.9,28.4900171,8.15
5716.0,2017-10-15 06:04:00+00:00,338.3,237.69999998,67.58898,12.42000001,0.258,98.50121436,308.46,317.10000048,27.55,7.91000002
5654.99999999,2017-10-15 06:07:00+00:00,335.65000005,236.1,66.98563063,12.33779965,0.2552,97.42823275,306.47,313.25689222,27.8,7.82000009
5591.97309239,2017-10-15 06:18:00+00:00,334.49049999,232.6,65.50034264,12.18,0.2548,97.40271127,302.11125588,310.0,27.68142393,7.802
5635.49048431,2017-10-15 06:19:00+00:00,335.65999998,233.596,66.3,12.28120603,0.256,97.5682174,302.71623437,312.32018351,27.61239295,7.88100001
5475.99945229,2017-10-15 07:06:00+00:00,329.91709749,230.053,63.79000001,11.9,0.25446947,94.777,297.65373661,308.39999999,27.50300043,7.80000001
5450.0,2017-10-15 07:07:00+00:00,328.9574,230.0,63.98,11.9,0.25375,94.65150119,297.5,308.0,27.504,7.80000001
5480.0,2017-10-15 07:08:00+00:00,328.74930823,230.0,63.4329689,11.86403942,0.2535,94.65150119,295.0,307.4,27.503,7.809
5416.25999999,2017-10-15 07:10:00+00:00,328.0,232.5998538,63.50000001,11.79402151,0.2545,93.84095796,295.0,307.12282003,27.61618754,7.82
5548.46870444,2017-10-15 08:14:00+00:00,324.72549851,228.92013304,63.89999995,11.64100005,0.25,93.83157471,295.0,311.0,27.12,7.94933154
